name,about,site_operating_hours,suggested_trip_duration,rating,review_count,entrance_fee,address
Intramuros,"Intramuros, ""The Walled City,"" is the oldest district in Manila. This is what remains of the fortified city, which was the seat of power during Spanish Colonial times (1521-1898).",8:00 AM - 6:00 PM,1-2 hours,4.0,3594,6369.025833333333,"Bonifacio Dr & Padre Burgos St, Manila, Luzon 1002 Philippines"
Fort Santiago,This museum and public park was built as a stone fortress at the turn of the 17th century and marked the beginning of the walled city's riverside barricades.,,1-2 hours,4.0,2105,5677.847272727272,"Intramuros, Manila, Luzon 1002 Philippines"
San Agustin Church,"This museum and courtyard gardens is one of the oldest stone churches in the country, having survived 2 fires and 7 earthquakes.",,,4.5,1577,5628.061363636363,"Gen Luna & Real Sts Intramuros, Manila, Luzon 1002 Philippines"
Rizal Park,,,1-2 hours,4.0,2082,6675.664,"Roxas Blvd, Manila, Luzon 1000 Philippines"
Manila Cathedral,"Former Philippine archbishops are buried in a crypt under the altar of this majestic cathedral, whose 1951 completion commemorated the the five versions that came before it.",,2-3 hours,4.0,1142,3647.307142857143,"Cabildo cor Beaterio Intramuros, Manila, Luzon 1002 Philippines"
National Museum,"This grand exhibit house features the country's most historic works of culture and national heritage, including the paintings of heralded Philippine artist Felix Resurreccion Hidalgo.",10:00 AM - 5:00 PM,,4.0,693,6487.716562500001,"Padre Burgos Ave Ermita, Manila, Luzon 2004 Philippines"
Museo San Agustin,,,,4.5,515,6131.304,"Calle Real del Palacio Intramuros, Manila, Luzon 1002 Philippines"
Robinsons Place Mall,,10:00 AM - 9:00 PM,1-2 hours,4.0,1022,6776.223999999999,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Manila Ocean Park,"From a spectacular marine themed park, Manila Ocean Park has finally evolved into Metro's Holiday Destination where everything is all about Life and Living.An array of exciting attractions, enticing view of the bay, enriching marine life exhibits, entertaining dining and lifestyle shapes to mold into an integrated resort destination. Manila Ocean Park is proud to have a marine-themed park in the country that houses Life of the best of both under and over the sea!",9:00 AM - 8:00 PM,More than 3 hours,3.5,2235,6370.735333333333,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Manila Bay,This natural harbor is an excellent place from which to view a most elegant sunset.,12:00 AM - 11:59 PM,< 1 hour,3.5,1166,5971.116,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Divisoria Market,,,,4.0,431,6444.766000000001,
University of Santo Tomas,"This is the oldest university in Asia, founded in 1611, and is one of the world’s largest Roman Catholic universities based on enrollment.",,1-2 hours,4.5,280,7239.64,"Espana St Sampaloc, Manila, Luzon 1008 Philippines"
Casa Manila,This replica of a mid-19th century house showcases the opulence of the former Filipino aristocracy.,,,4.0,431,4672.6559090909095,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 10 min walk</div>"
Quiapo Church,,,,4.0,436,6164.299999999999,"Quezon Blvd, Plaza Miranda Quiapo, Manila, Luzon 1014 Philippines"
Binondo,"The ""Chinatown"" of Manila, the Binondo area offers everything from Buddhist temples to pawn shops and Chinese restaurants.",,1-2 hours,4.0,183,6452.682666666667,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Paco Park,This former cemetery is now a manicured park and venue for fairs and concerts featuring local artists and musicians.,,,4.0,235,5792.7,
Binondo Church,The altar's replica of St. Peter's dome impresses visitors to this historic church.,,,4.0,201,3785.585,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Carriedo - Quiapo • 10 min walk</div>"
San Sebastian Church,,,1-2 hours,4.0,143,371.89,"Pasaje del Carmen Street Quiapo, Manila, Luzon 1004 Philippines"
Rizal Shrine,,,,4.0,286,5939.526666666668,"Santa Clara Street, Manila, Luzon 1002 Philippines"
National Museum of Natural History,,,,4.5,86,6444.766000000001,"Teodoro F. Valencia Circle, Manila, Luzon 1000 Philippines"
Malate Church,"Also known as ""Our Lady of Miraculous Medal,"" the Virgin Mary image in the Malate Church is where the Filipino have prayed in times of trouble for over four centuries.",,< 1 hour,4.0,218,,
Chinatown,,,,3.5,426,6155.401333333333,
Museo Filipino Intramuros,"Museo Filipino is a historical museum gallery in Intramuros, Manila (just behind Manila Cathedral) that gives tourists a birds-eye view (30-minute crash course) on Philippine history. Using illustrations procured from the early 19th century, pictures from the US Library of Congress, and other sources, Museo Filipino narrates Philippine history from the pre-colonial period until the present-day administration. It is a good jump off point in Intramuros because it also highlights the owners' favorite places of interest in Intramuros, such as the Memorare, the gardens, the wall, the monuments of Queen Isabella and King Philip of Spain, etc. Entrance fees (with complimentary freshly-brewed coffee): Students - P80.00 Residents - P100.00 Non-residents - P200.00",9:00 AM - 5:00 PM,< 1 hour,5.0,87,6444.766000000001,"Intramuros 423 Magallanes Street, Barangay 655 6th Floor, JS Contractor Building, Manila, Luzon 1002 Philippines"
Shangri-La Plaza,,,,4.5,87,6440.247333333334,"Corner EDSA and Shaw Boulevard Madaluyong City, Manila, Luzon 1552 Philippines"
