url,name,number of reviews,address,rating,about,special diets,meals,cuisines,features,rating_Food,rating_Service,rating_Value,rating_Atmosphere,price range
/Restaurant_Review-g312693-d4049242-Reviews-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,Lucky Noodles,3044,"Aseana Avenue Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,"Fortune has shone on this haven for Asian gastronomy with its sumptuous soups, noodles, rice dishes, and traditional Asian specialties that pay homage to the various food festivals across the region. The open kitchen with a dining counter allows you to watch our chefs in action and whet your appetite for our Asian comfort food. Located directly off the casino floor, this quick and casual retreat is always buzzing with energy, a perfect venue for patrons 21 years and above to cool down and take a breather in between games. It is open 24 hours a day so you'll always have a chance to indulge.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Asian, Soups","Reservations, Takeout, Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service",4.5,4.5,4.5,4.5,
/Restaurant_Review-g312693-d12402268-Reviews-Kiapo-Paranaque_Metro_Manila_Luzon.html,Kiapo,1252,"Seaside Drive Okada Manila, Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,,,"Dinner, Lunch, Brunch, Late Night, Drinks","Filipino, Asian",,5.0,5.0,5.0,5.0,₱10 - ₱100
/Restaurant_Review-g298452-d10164846-Reviews-China_Blue_by_Jereme_Leung-Pasay_Metro_Manila_Luzon.html,China Blue by Jereme Leung,1356,"Conrad Manila, Seaside Boulevard corner Coral Way Mall of Asia Complex, Pasay, Luzon 1300 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Chinese, Asian",,5.0,5.0,4.5,5.0,"₱350 - ₱1,000"
/Restaurant_Review-g312693-d8327366-Reviews-Waterside-Paranaque_Metro_Manila_Luzon.html,Waterside,866,"1 Asean Avenue, Entertainment City Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Bar, American, Barbecue",,4.5,5.0,4.5,5.0,
/Restaurant_Review-g312693-d12072663-Reviews-Red_Spice-Paranaque_Metro_Manila_Luzon.html,Red Spice,608,"Seaside Drive Okada Manila, Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,,,"Breakfast, Lunch, Dinner, Late Night, Drinks","Chinese, Asian",,5.0,5.0,5.0,5.0,"₱563 - ₱5,633"
/Restaurant_Review-g298450-d1147646-Reviews-Benjarong_Thai_Restaurant-Makati_Metro_Manila_Luzon.html,Benjarong Thai Restaurant,1114,"Dusit Thani Manila Ayala Centre, Makati, Luzon 1223 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Asian, Thai",,4.5,4.5,4.5,4.5,
/Restaurant_Review-g1758900-d15024478-Reviews-The_Grand_Kitchen-Taguig_City_Metro_Manila_Luzon.html,The Grand Kitchen,772,"8th Avenue corner 35th Street Bonifacio Global City, Taguig City, Luzon 1634 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner",,"Takeout, Reservations, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",4.5,5.0,4.5,5.0,
/Restaurant_Review-g312693-d3979019-Reviews-Yakumi-Paranaque_Metro_Manila_Luzon.html,Yakumi,1173,"Aseana Avenue Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",5.0,"Whether it's sushi, sashimi, or the freshest fish and crustaceans, Yakumi offers only the best Japanese dishes created by some of the world's top Japanese chefs. This dining destination features an expansive open kitchen that allows patrons to witness how the ingredients-sourced largely from Japan-are prepared carefully like a perfected way of life, and how they are blended together using traditional techniques and modern presentations to provide the palate an incredible experience. Let our sake sommeliers indulge you in a selection of sake specialties to complement your meal. For intimate affairs, book any of the two teppanyaki rooms and enjoy an imperial gastronomic experience in comfort and","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks","Japanese, Seafood, Sushi, Asian","Takeout, Reservations, Buffet, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service",4.5,4.5,4.0,4.0,
/Restaurant_Review-g1758900-d23660651-Reviews-Pool_House-Taguig_City_Metro_Manila_Luzon.html,Pool House,454,"8th Avenue Corner, 35th Street 6th Floor, Inside Grand Hyatt, Taguig City, Luzon 1634 Philippines",5.0,,,"Lunch, Dinner, Drinks","Seafood, International, Barbecue, Grill",,5.0,5.0,4.5,5.0,
/Restaurant_Review-g312693-d3979014-Reviews-Finestra_Italian_Steakhouse-Paranaque_Metro_Manila_Luzon.html,Finestra Italian Steakhouse,1443,"1 Aseana Avenue Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Late Night, Drinks",Italian,,5.0,5.0,4.5,4.5,
/Restaurant_Review-g298452-d19113544-Reviews-Port_Bar-Pasay_Metro_Manila_Luzon.html,Port Bar,162,"Newport City 1 Newport Boulevard Level 3, Hilton Manila, Pasay, Luzon 1309 Philippines",5.0,,,"Dinner, Late Night, Drinks","American, Bar, Pub, Gastropub, Dining bars","Parking Available, Validated Parking, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Live Music, Non-smoking restaurants, Sports bars",5.0,5.0,4.5,,
/Restaurant_Review-g312693-d12402262-Reviews-Medley_Buffet-Paranaque_Metro_Manila_Luzon.html,Medley Buffet,551,"1701 Seaside Drive Okada Manila, Paranaque, Luzon 1701 Philippines",5.0,"Medley's ingeniously crafted menus and live cooking stations take center stage amid a distinctively upscale ambiance. Whether buffet or a la carte, its sensational selection of international flavors will excite the most demanding palate.","Vegan Options, Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Breakfast","International, Asian, Sushi","Reservations, Buffet, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Table Service, Validated Parking, Valet Parking, Digital Payments, Accepts Credit Cards, Non-smoking restaurants",5.0,5.0,4.5,5.0,₱15 - ₱55
/Restaurant_Review-g312693-d13986287-Reviews-La_Piazza-Paranaque_Metro_Manila_Luzon.html,La Piazza,637,"Seaside Drive Okada Manila, Paranaque, Luzon 1701 Philippines",5.0,La Piazza serves as Okada Manila's entry to Italy - the birthplace of rich artistic and architectural heritage as well as sumptuous regional cuisines. Leading the foray into authentic Italian gastronomy as it reveals a wide culinary landscape of delectable Italian fare from comforting homemade meals to luxurious signature dishes.,,,"Italian, Pizza, Wine Bar, European","Reservations, Seating, Serves Alcohol, Table Service, Private Dining, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Full Bar, Wine and Beer, Digital Payments, Cash Only, Accepts Credit Cards, Non-smoking restaurants",5.0,5.0,4.5,5.0,₱19 - ₱200
/Restaurant_Review-g298452-d2526318-Reviews-Marriott_Cafe-Pasay_Metro_Manila_Luzon.html,Marriott Cafe,2559,"2 Resorts Drive Manila Marriott Hotel, Pasay, Luzon 1309 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Cafe, Seafood, Healthy, International",,4.5,5.0,4.5,4.5,
/Restaurant_Review-g312692-d3975833-Reviews-Vikings_Luxury_Buffet_SM_City_Marikina-Marikina_Metro_Manila_Luzon.html,"Vikings Luxury Buffet, SM City Marikina",421,"Marikina-Infanta Hwy 2nd Floor, SM City Marikina, Marikina, Luzon 1820 Philippines",4.5,"Vikings Luxury Buffet is a contemporary and stylish restaurant that overlooks the majestic Manila Bay through its' vast windows. At Vikings, we are redefining the concept of buffet by incorporating show kitchens in our dining area to show our guests how our professionally trained chefs prepare dishes beyond expectations. We have an international buffet spread that is being constantly changed to make our valued guests to have something to look forward to (from freshly picked seafood to prime ribs, freshly made gourmet pizzas to local favorites), truly an epicurean epiphany. Vikings focuses on freshness, high-quality ingredients, comforting-unique choices and providing an impeccable dining experience","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Mexican, Filipino, Grill, Diner, International","Reservations, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service",4.5,4.5,4.5,4.5,"₱55,649 - ₱61,282"
