,url,name,location,review_count,address,rating,rating_description,price_range,cuisines,special_diets,rating_Food,rating_Service,rating_Value,meals,rating_Atmosphere,features,about,type,rating_Location,rating_Cleanliness,Property_amenities,Room_features,Room_types,hotel_class,walkability_score,walkability_description,nearby_restaurant_count,nearby_attraction_count,room_count,old_name,operating_hours,trip_duration,site_type,entrance_fee
30,https://www.tripadvisor.com.ph/Restaurant_Review-g298460-d23911442-Reviews-3_Pizza_Station_raintree_Mall-Cebu_City_Cebu_Island_Visayas.html,3 Pizza Station (raintree Mall),Cebu City,3,"Raintree Mall Unit 121, Cebu City 6000 Philippines",5.0,Excellent,₱113 - ₱283,"Mexican, Peruvian, Latin, Pizza, European, Spanish, South American",,,,,"Breakfast, Lunch, Dinner, Brunch, Drinks",,,,restaurant,,,,,,,,,,,,,,,,
31,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d12848567-Reviews-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,CookPub - Modern Korean Bistro,Cebu City,548,"2nd Floor, Island Central Mactan, MEPZ Ecozone, Lapu Lapu 6015 Philippines",5.0,Excellent,₱227 - ₱680,"Korean, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",5.0,5.0,5.0,,5.0,,,restaurant,,,,,,,,,,,,,,,,
32,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d25221039-Reviews-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,Buko Seaside Bar and Restaurant,Cebu City,236,"Kontiki Datag Maribago, Lapu Lapu 6015 Philippines",5.0,Excellent,,"Filipino, Asian, Thai",,5.0,5.0,5.0,"Lunch, Dinner",5.0,"Takeout, Reservations, Private Dining, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Playgrounds, Non-smoking restaurants",,restaurant,,,,,,,,,,,,,,,,
33,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d16693367-Reviews-Redcrab_cebu-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,Redcrab cebu,Cebu City,189,"Bagumbayan ll, Lapu Lapu 6015 Philippines",5.0,Excellent,"₱342 - ₱1,495","Filipino, Asian",,5.0,5.0,4.5,"Lunch, Dinner",,"Takeout, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Wine and Beer, Accepts Credit Cards, Table Service, Live Music",,restaurant,,,,,,,,,,,,,,,,
34,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d4843194-Reviews-Gold_Mango_Grill_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,Gold Mango Grill & Restaurant,Cebu City,443,"2 M.L. Quezon National Highway Maribago, Lapu Lapu 6015 Philippines",4.5,Very Good,"₱283 - ₱1,133","Filipino, Asian",,4.5,4.5,4.0,"Lunch, Dinner, Brunch, Drinks",4.5,"Reservations, Private Dining, Seating, Parking Available, Free off-street parking, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Takeout, Validated Parking, Wheelchair Accessible, Accepts Credit Cards",A semi fine dining restaurant with a good ambiance serving Asian Fusion Cuisine that customer will surely love.,restaurant,,,,,,,,,,,,,,,,
35,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d9732111-Reviews-Scape_Skydeck-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,Scape Skydeck,Cebu City,428,"M. L. Quezon National Highway Pusok, Lapu Lapu 6015 Philippines",4.5,Very Good,₱8 - ₱30,"Italian, Bar, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,4.5,4.5,,,,,restaurant,,,,,,,,,,,,,,,,
36,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d1800907-Reviews-Azure_Beach_Club-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,Azure Beach Club,Cebu City,375,"Crimson Resort and Spa Crimson Resort & Spa, Lapu Lapu 6015 Philippines",4.5,Very Good,,"Bar, Seafood, Asian, International, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,5.0,4.5,"Lunch, Dinner, Brunch, Late Night",5.0,,,restaurant,,,,,,,,,,,,,,,,
37,https://www.tripadvisor.com.ph/Restaurant_Review-g298461-d6778693-Reviews-The_Oriental_Spice_Gourmet-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,The Oriental Spice Gourmet,Cebu City,280,"Maximo V. Patalinghug Jr. Avenue Basak, Lapu Lapu 6015 Philippines",4.5,Very Good,,"Asian, Singaporean, Malaysian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,4.5,4.5,"Lunch, Dinner, Brunch",4.5,,,restaurant,,,,,,,,,,,,,,,,
38,https://www.tripadvisor.com.ph/Restaurant_Review-g608518-d12946702-Reviews-Cafe_bai-Mandaue_Cebu_Island_Visayas.html,Cafe bai,Cebu City,297,"Ouano Drive 2nd floor bai Hotel Cebu, Mandaue 6014 Philippines",4.5,Very Good,,"International, Filipino, Cafe, Asian","Gluten Free Options, Vegetarian Friendly, Vegan Options",4.5,4.5,4.5,"Breakfast, Lunch, Dinner, Drinks",,,,restaurant,,,,,,,,,,,,,,,,
39,https://www.tripadvisor.com.ph/Restaurant_Review-g298460-d25443143-Reviews-Mott_32_Cebu-Cebu_City_Cebu_Island_Visayas.html,Mott 32 | Cebu,Cebu City,66,"The Strip, NUSTAR Resort and Casino, Kawit Island, South Road Properties NUSTAR Resort and Casino, Cebu City 6000 Philippines",5.0,Excellent,,"Chinese, Asian, Contemporary",,5.0,5.0,4.5,"Lunch, Dinner, Drinks",5.0,"Reservations, Private Dining, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards",,restaurant,,,,,,,,,,,,,,,,
