,name,location,rating,rating_date,title,content,visit_date,url,type,ratingDate,user_link,user_name,purpose,review_date
450,3 Pizza Station (raintree Mall),Cebu City,5.0,"February 17, 2023",I can't wait to go back,"Amazing atmosphere, location and of course the ""Pizza"" I will return many times when I complete my relocation to the philippines",Date of visit:,/ShowUserReviews-g298460-d23911442-r879032741-3_Pizza_Station_raintree_Mall-Cebu_City_Cebu_Island_Visayas.html,restaurant,,,,,
451,3 Pizza Station (raintree Mall),Cebu City,5.0,"June 13, 2022",Great Pizza ,Glad to be the 1st one to write a review. Pizza is great coz they make their own dough. Chicken wings hits the spot alright. Great attentive staff.,Date of visit:,/ShowUserReviews-g298460-d23911442-r842634797-3_Pizza_Station_raintree_Mall-Cebu_City_Cebu_Island_Visayas.html,restaurant,,,,,
452,3 Pizza Station (raintree Mall),Cebu City,5.0,"January 15, 2023",A breath of fresh air ,Excellent food and service.  A great combination of both local and Wesrern food at a reasonable price.  And they sell wine which is a rarity in Cebu.,Date of visit:,/ShowUserReviews-g298460-d23911442-r875135657-3_Pizza_Station_raintree_Mall-Cebu_City_Cebu_Island_Visayas.html,restaurant,,,,,
453,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 25, 2023",Fabulous experience and great food,"The staff were so friendly and very welcoming , upon arrival we were warmly greeted by all staff members which was great experience
 
We had great pleasure to be served by friendly staff members Paul, Junas, Jonathan and Mike 

The service and food quality is...greatl",Date of visit:,/ShowUserReviews-g298461-d12848567-r912811732-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
454,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 17, 2023",Awesome,"The food was very good and flavorful! 
And junas was really attentive and helpful! 
Awesome experience overall!",Date of visit:,/ShowUserReviews-g298461-d12848567-r910987413-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
455,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 15, 2023",Excellent Service,"Cook pub Mactan is always our favorite  restaurant, service is excellent, food , and ambiance , everything ,especially to JUNAS AND GREG, thank you so much for the wonderful, fast  service, we will definitely coming back. kudos to them ☺️💪🏻",Date of visit:,/ShowUserReviews-g298461-d12848567-r910499300-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
456,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 14, 2023",Very nice Korean food restaurant.,"All of the dishes are really great and nice.
I really enjoyed eating dinner here.
Also every staff are very nice and friendly👍🏻",Date of visit:,/ShowUserReviews-g298461-d12848567-r910207976-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
457,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 13, 2023",Best seafood ramen!,"Best seafood ramen I’ve had in the Philippines! Very friendly staff, especially our waiter Junas! Worth visiting!!!!",Date of visit:,/ShowUserReviews-g298461-d12848567-r909910309-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
458,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 13, 2023",Great food great service,Excellent food and service.  This has become our goto place to eat in Lapu Lapu.  The food is always consistently delicious and they offer free soup and an appetizer so you always leave satisfied.  The service is always prompt and exceedingly friendly.,Date of visit:,/ShowUserReviews-g298461-d12848567-r909908076-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
459,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 10, 2023",Dinner with family,"Came here during my visit to the philippines and enjoyed the food they served and the service was very hospitable. A very clean and orderly place and out of the restaurants available in the philippines, it's a recommended place to go if you want guaranteed...consistent quality.",Date of visit:,/ShowUserReviews-g298461-d12848567-r909250828-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
460,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 10, 2023",Great Resturant!!,"Good food and welcoming staff

I came here with my family and they have a wide selection of food. The staff are incredibly polite and welcoming, definitely a nice restaurant and I would recommend eating here ♡",Date of visit:,/ShowUserReviews-g298461-d12848567-r909250336-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
461,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 10, 2023",Cookpub is the restaurant that my mother’s favorite to go to due to their delicious food and relaxing ambiance.,This is place offer great food for korean cuisine and the employees are so approachable and will surely assist you. Also the place is so clean.,Date of visit:,/ShowUserReviews-g298461-d12848567-r909241648-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
462,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 4, 2023",Good food,Their food is so delicious. The staff especially Rix is very accommodating. This restaurant is highly recommended.,Date of visit:,/ShowUserReviews-g298461-d12848567-r907718257-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
463,CookPub - Modern Korean Bistro,Cebu City,5.0,"August 1, 2023",Best Foods!!! Awesome Staffs! ,"We had a great time eating very delicious foods at Cookpub Mactan. Their staffs Irish, Mike and Rex are giving us excellent service, very friendly, smiling, very attentive. We're the first guests this morning and even if they have guests arrived, they still entertained us,...they check if we're okay or do we need something. The staffs asked us if we're satisfied with the foods? And YES! Very satisfied! Highly recommend this restaurant! Thank you also to the chefs, you have AWESOME foods! Best Korean Restaurant! We will definitely back soon!",Date of visit:,/ShowUserReviews-g298461-d12848567-r907200491-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
464,CookPub - Modern Korean Bistro,Cebu City,5.0,"July 31, 2023",Nice experience,This spot is nice the food is good and very accommodating/friendly staff especially to the staff Beberly  Thank you for being friendly and helpful staff.,Date of visit:,/ShowUserReviews-g298461-d12848567-r906857555-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
465,CookPub - Modern Korean Bistro,Cebu City,5.0,"July 30, 2023",Dinning table,"I like food and also staff of cookpub💗 specially with the service of our waiter Rix,  Junas ans Mike.",Date of visit:,/ShowUserReviews-g298461-d12848567-r906657066-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
466,CookPub - Modern Korean Bistro,Cebu City,5.0,"July 30, 2023",Cookpub review,Service was good and everyone is cooperating and the waiters are very responsive. Place is so welcoming,Date of visit:,/ShowUserReviews-g298461-d12848567-r906622196-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
467,CookPub - Modern Korean Bistro,Cebu City,5.0,"July 30, 2023",EVERYTHING IS GOOD 💯,Food & Service is very quality 💯 would definitely come back & recommend this food restaurant. Mike & Junas are very accomodating ❤️,Date of visit:,/ShowUserReviews-g298461-d12848567-r906622123-CookPub_Modern_Korean_Bistro-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
468,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 22, 2023",Wonderful dishes with amazing atmosphere ,"Wonderful dishes with Romantic atmosphere.

Must visit here, especially if you're staying in Jpark Resort!

Strongly Recommend here :)",Date of visit:,/ShowUserReviews-g298461-d25221039-r912141063-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
469,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 12, 2023",Family Diving,"The restaurant was very accommodated and the food served is so good, our family definitely left the lovely place with full bellies and hearts.",Date of visit:,/ShowUserReviews-g298461-d25221039-r909686490-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
470,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 12, 2023",Perfect Summer Getaway with the Fam,The food is delicious and the ambience is especially amazing with a great view of the sea. The staff here is very accommodating and is eager to help you and provide excellent customer service.,Date of visit:,/ShowUserReviews-g298461-d25221039-r909685312-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
471,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 12, 2023",A wonderful experience!,I really like the food! They served us more then the usual meal and that was unexpected. I really enjoy the place it's very nice and comforting.,Date of visit:,/ShowUserReviews-g298461-d25221039-r909683310-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
472,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 11, 2023",Yummy scallop,Had trouble on our way to the restaurant due to narrow road but all of it was worth it. Ambiance is great. Food is good. Cheese scallop is exceptional,Date of visit:,/ShowUserReviews-g298461-d25221039-r909512080-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
473,Buko Seaside Bar and Restaurant,Cebu City,5.0,"August 11, 2023",Amazing food and ambience,Food is great. Staff is awesome. Ambience is top notch! Def worth it.  A good place to eat and chill with friends. They also have a lounge which is very convenient!,Date of visit:,/ShowUserReviews-g298461-d25221039-r909510991-Buko_Seaside_Bar_and_Restaurant-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html,restaurant,,,,,
