,name,location,rating,rating_date,title,content,visit_date,url,type,ratingDate,user_link,user_name,purpose,review_date
0,Madayaw Cafe,Davao City,5.0,"August 26, 2023",White-glove service from the moment you walk in to the moment you leave.,"I felt welcome the entire time I was there, and this is the biggest differentiating factor for me. No matter the amenities, technology, comfort, or even food, a restaurant cannot reach the pinnacle of its success without its most important resource: People. I must make...a special mention of Jubb. This young man is an outstanding host, and an even better human being. He is a credit to your image and reputation, and a key to your future success. I could not be more satisfied and grateful for his kindness, attentiveness, professionalism, and authenticity. Jubb treated me with white-glove service at every opportunity. I never felt neglected or ignored. Every business needs someone like him, and your restaurant is distinctly fortunate to have him. He deserves great recognition for impressive service.",Date of visit:,/ShowUserReviews-g298459-d17329235-r912927410-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
1,Madayaw Cafe,Davao City,5.0,"August 25, 2023",US TIME at Madayaw cafe,The selection of food was delicious and the coffee was amazing. Service attendants Flerisse and Trisia were very attentive.. My husband and I had a great time enjoying our us time..,Date of visit:,/ShowUserReviews-g298459-d17329235-r912729359-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
2,Madayaw Cafe,Davao City,5.0,"August 24, 2023",August 20-22 stay,"This place did not disappoint. Would gladly come back here from time to time!

Big thanks to Regina for assisting me when I was getting my Lunch, she was kind enough to assist me on what was the best in the menu. Service was top...notch!",Date of visit:,/ShowUserReviews-g298459-d17329235-r912640964-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
3,Madayaw Cafe,Davao City,5.0,"August 19, 2023",Dusit_D2 Kadayawn_2023,"This place is great! Hotel staff are accomodating. Had a fabulous stay.

Thanks to Kenjie for the great service at the Cocktails on the Pool side",Date of visit:,/ShowUserReviews-g298459-d17329235-r911447855-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
4,Madayaw Cafe,Davao City,5.0,"August 19, 2023",Great Service,"The food was all masarap, and the service was very good. Sha was a very helpful staff member helping us with an unusual non food request!",Date of visit:,/ShowUserReviews-g298459-d17329235-r911338143-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
5,Madayaw Cafe,Davao City,5.0,"August 6, 2023",Amazing place!,People are really helpful and they hace amazing food. When you ask for something different they try to give whatever you want!,Date of visit:,/ShowUserReviews-g298459-d17329235-r908186711-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
6,Madayaw Cafe,Davao City,5.0,"August 5, 2023","Fantastic views, modern aesthetics, and most importantly, great food selection fit for everyone’s needs. Worth it 👌",I celebrated my birthday here in this place and I can definitely say that the staff are quite accomodating and quite helpful with our needs during our event. Fantastic private rooms with quite a pleasant aesthetic to match! Great tasting food and relaxing environment overall....All worth it! Would come back again soon 👌,Date of visit:,/ShowUserReviews-g298459-d17329235-r908026731-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
7,Madayaw Cafe,Davao City,4.0,"July 29, 2023","Its a wonderful experience, we really refer this to friends & relatives","Great food,great service & great venue. We are properly inform of the protocols . Assigned waiter is nice and courteous",Date of visit:,/ShowUserReviews-g298459-d17329235-r906432538-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
8,Madayaw Cafe,Davao City,5.0,"July 23, 2023",Quality buffet at DusitD2 Madayaw Cafe,"Excellent food and excellent service!

It’s our second time to have our dinner buffet here. This time with our son.  Quality and choices of food available are great for a dinner buffet.",Date of visit:,/ShowUserReviews-g298459-d17329235-r904991538-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
9,Madayaw Cafe,Davao City,5.0,"July 23, 2023",Highly recommended,Great ambience. Awesome food selections. Ken was outstanding in serving us! Really appreciate all you did today!,Date of visit:,/ShowUserReviews-g298459-d17329235-r904989922-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
10,Madayaw Cafe,Davao City,5.0,"July 16, 2023",Madayaw sa Dusit!,"Madayaw Resto at Dusit Thani was a delightful experience. It has extensive variety of dishes offered for everyone's taste buds, from fresh fruits to superb main course. The ambiance was pleasant, creating a relaxed and enjoybale atmosphere.",Date of visit:,/ShowUserReviews-g298459-d17329235-r903413403-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
11,Madayaw Cafe,Davao City,5.0,"July 16, 2023",Dine with dusit,Food are delicious. The ambaince is relaxing and the staffs are accomodating and responsive specialy aren,Date of visit:,/ShowUserReviews-g298459-d17329235-r903396984-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
12,Madayaw Cafe,Davao City,5.0,"July 13, 2023",Hello Davao,Food is delicious. Excellent service. Hospitable staff specially RJ. My latte is so yummy.  It makes my day happy .,Date of visit:,/ShowUserReviews-g298459-d17329235-r902573316-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
13,Madayaw Cafe,Davao City,5.0,"July 8, 2023",Food is Good,"Food is good, the service is great especially sir aren who gave us the crab crackers and also their dinner ends in 9:30.",Date of visit:,/ShowUserReviews-g298459-d17329235-r901404872-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
14,Madayaw Cafe,Davao City,5.0,"July 3, 2023",Very much satisfied,"Service was excellent. All the staff was so accommodating. We’re so happy and full! Shout out to all the staff of Madayaw, Y’all are great!",Date of visit:,/ShowUserReviews-g298459-d17329235-r899895388-Madayaw_Cafe-Davao_City_Davao_del_Sur_Province_Mindanao.html,restaurant,,,,,
15,Waling Waling Cafe - Acacia Hotel Davao,Davao City,5.0,"August 10, 2023",Waling-Waling,"Waling-Waling is very nice and pleasant restaurant, There Waiter here is very approachable and makes you feel like home. Its a great service. Thank you and I will recommend to my friends too.",Date of visit:,/ShowUserReviews-g298459-d23579215-r909175905-Waling_Waling_Cafe_Acacia_Hotel_Davao-Davao_City_Davao_del_Sur_Province_Mindana.html,restaurant,,,,,
16,Waling Waling Cafe - Acacia Hotel Davao,Davao City,5.0,"August 5, 2023",Comfortable Stay,Both the place and the food are great! I especially love the breakfast meal! All foods offered were delicious! The crew are also kind and very attentive!,Date of visit:,/ShowUserReviews-g298459-d23579215-r907891014-Waling_Waling_Cafe_Acacia_Hotel_Davao-Davao_City_Davao_del_Sur_Province_Mindana.html,restaurant,,,,,
17,Waling Waling Cafe - Acacia Hotel Davao,Davao City,5.0,"August 2, 2023",Good,"Good spot,friendly people and even the environment is nice and comfy. Love to visit and experience it again",Date of visit:,/ShowUserReviews-g298459-d23579215-r907284005-Waling_Waling_Cafe_Acacia_Hotel_Davao-Davao_City_Davao_del_Sur_Province_Mindana.html,restaurant,,,,,
18,Waling Waling Cafe - Acacia Hotel Davao,Davao City,5.0,"August 2, 2023",Recommended hotel,"They offer a handful of choices of food and tastes great!  They offer wide choices of bread and viand, in which I always go for whenever I stay in this hotel.",Date of visit:,/ShowUserReviews-g298459-d23579215-r907279848-Waling_Waling_Cafe_Acacia_Hotel_Davao-Davao_City_Davao_del_Sur_Province_Mindana.html,restaurant,,,,,
19,Waling Waling Cafe - Acacia Hotel Davao,Davao City,5.0,"August 2, 2023",Thank You Acacia Hotel,"Food were good. Spacious,comfy Spotless clean room, Very kind, hospitable staff.Great service. Would difinitely choose this hotel again on my future stay .",Date of visit:,/ShowUserReviews-g298459-d23579215-r907276055-Waling_Waling_Cafe_Acacia_Hotel_Davao-Davao_City_Davao_del_Sur_Province_Mindana.html,restaurant,,,,,
