name,url,address,about,review_count,rating,rating_description,rating_Location,rating_Cleanliness,rating_Service,rating_Value,Property_amenities,Room_features,Room_types,hotel_class,walkability_score,walkability_description,nearby_restaurant_count,nearby_attraction_count,price_range,old_name,room_count
New Coast Hotel Manila,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d483187-Reviews-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html,"1588 Pedro Gil Street Corner MH del Pilar, Manila, Luzon 1004 Philippines","New Coast Hotel Manila is a 5-star deluxe business hotel strategically located at the heart of Manila that brings redefined experience through its warm hospitality, impeccable service, complementing facilities and amenities, innovative event spaces, and delightful cuisines. New Coast Hotel is a home to discerning business travelers and leisure seekers. It is 30 minutes away from the domestic and international airports, walking distance from shopping and entertainment hubs, and a few minutes away from convention and exhibit centers, tourist destinations and historical attractions such as the charming “Walled City” of Intramuros, the iconic Rizal Park and world’s oldest Chinatown. With 305 guestrooms and suites, it offers a full range of amenities and services, restaurants, meetings and events facilities, along with other wellness and recreational centers.",3420,4.5,Excellent,4.0,4.5,4.5,4.0,"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Casino and Gambling,Kids stay free,Babysitting,Wifi,Hot tub,Adult pool,Outdoor pool,Heated pool,Fitness / spa locker rooms,Fitness classes,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Swimup bar,Poolside bar,Children Activities (Kid / Family Friendly),Airport transportation,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Massage,Steam room,24-hour security,Concierge,Currency exchange,Non-smoking hotel,Butler service,Doorperson,Dry cleaning,Laundry service,Ironing service,Shoeshine","Air conditioning,Room service,VIP room facilities,Minibar,Refrigerator,Flatscreen TV,On-demand movies","Ocean view,Non-smoking rooms,Suites,Family rooms",5.0,97,Great for walkers,196,16,"₱4,241",New World Manila Bay Hotel,305
Sofitel Philippine Plaza Manila,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d301802-Reviews-Sofitel_Philippine_Plaza_Manila-Manila_Metro_Manila_Luzon.html,"Roxas Boulevard CCP Complex, Manila, Luzon 1300 Philippines","Sofitel Philippine Plaza Manila is an iconic 5-star luxury resort nestled in an expansive tropical setting. Renowned for its magnificent contrast of captivating sunsets and the sparkling waters of Manila Bay, the hotel attracts international and local travelers alike with its signature Filipino brand of hospitality and the French joie de vivre reflected in its service rituals; from entertainment, food and wine offerings. Nestled adjacent to the historic Cultural Center of the Philippines, Sofitel Philippine Plaza boasts of a location within the city beat and the refreshing tranquillity of the bay. It stands 15 minutes away from the international and domestic airports and approximately 30 minutes away from Makati City, the central business and commercial district of thriving shopping, dining and entertainment venues. Spiral is the hotel's most interactive restaurant in the Asia Pacific Region, featuring 21 ateliers of the world's best cuisine in one magnificent destination. Other than Spiral, Sofitel Philippine Plaza also has other restaurants and bars including Le Bar, a bistro, patisserie and library in one destination, La Veranda, a Parisian-style bar with an indoor lounge that stretches to an outdoor terrace, Snaps Sports Bar, a sleek and modern bar for sports enthusiasts, and the Sunset Bar, the idyllic blend of a picturesque outdoor dining venue. The first of its kind in Asia, the Vietura Aesthetic Lifestyle features anti-aging, detox and weight management along with a comprehensive services menu of holistic, personalized beauty and wellness programs. It combines non-invasive aesthetic procedures, integrative medicine and lifestyle coaching tailored to fit the individual's needs.",7806,4.5,Excellent,4.0,4.5,4.5,4.0,"Secured parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Mini golf,Billiards,Kids stay free,Wifi,Hot tub,Pool / beach towels,Swimming pool toys,Pool with view,Outdoor pool,Yoga classes,Fitness / spa locker rooms,Fitness classes,Personal trainer,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Happy hour,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Wine / champagne,Poolside bar,Darts,Entertainment staff,Evening entertainment,Board games / puzzles,Babysitting,Children's playground,Children's television networks,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids pool,Kids' outdoor play equipment,Highchairs available,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Spa,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hand massage,Head massage,Light therapy,Makeup services,Manicure,Massage,Pedicure,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Non-smoking hotel,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,Infirmary,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service","Blackout curtains,Bathrobes,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Bidet,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Refrigerator,Electric kettle,Flatscreen TV,On-demand movies,Walk-in shower,Whirlpool bathtub,Bath / shower,Complimentary toiletries,Hair dryer","Ocean view,City view,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available,Pool view",5.0,57,Somewhat walkable,30,4,"₱7,634",,609
Diamond Hotel Philippines,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d306018-Reviews-Diamond_Hotel_Philippines-Manila_Metro_Manila_Luzon.html,"Roxas Boulevard cor. Dr. J. Quintos St., Manila, Luzon 1000 Philippines","Set against the magnificent golden sunset of the Manila Bay is the five-star hotel Diamond Hotel Philippines. A luxury hotel in Manila with a sunset view, Diamond Hotel is only minutes away from the international and domestic airports, and from the Makati business district. Diamond Hotel is near SMX Convention Center, Cultural Center of the Philippines (CCP) and the Philippine International Convention Center (PICC). It is also near SM Mall of Asia, Robinsons Manila and other shopping destinations. Also within the vicinity are Manila's famous historical landmarks, cultural sites, and Malate's spectacular nightlife. Diamond Hotel has a variety of restaurants and bars specializing in different cuisines and diners are sure to have a remarkable dining experience. Function rooms are also available for memorable weddings and successful corporate events. Swimming pool and outdoor whirlpool, tennis court, Diamond Spa, LifeSpan Reflexology and Diamond Club gym facilities are perfect for recreational and fitness activities. Service from the efficient and courteous staff of Diamond Hotel Philippines.",3179,4.5,Excellent,4.5,4.5,4.5,4.5,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Airport transportation,Conference facilities,Valet parking,Wifi,Hot tub,Outdoor pool,Fitness / spa locker rooms,Sauna,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Happy hour,Wine / champagne,Poolside bar,Car hire,Taxi service,Banquet room,Meeting rooms,Spa,Couples massage,Foot massage,Full body massage,Massage,Steam room,24-hour security,Baggage storage,Concierge,Gift shop,Newspaper,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service","Bathrobes,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Extra long beds,Bidet,Interconnected rooms available,Room service,Safe,Seating area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Wake-up service / alarm clock,Minibar,Flatscreen TV,iPod docking station,Bath / shower,Complimentary toiletries,Hair dryer","Ocean view,City view,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available",5.0,97,Great for walkers,186,19,"₱6,122",,483
The Manila Hotel,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d304540-Reviews-The_Manila_Hotel-Manila_Metro_Manila_Luzon.html,"1 Rizal Park, Manila, Luzon 0913 Philippines","Manila Hotel embodies a rich tradition of elegant living, fine dining, and gracious service that goes back over 97 years. Here the city celebrated its most important events. Here the world’s personages held court and left their mark. At once, ageless and historic, Manila Hotel has always been everything a hotel should be: comfortable and gracious",2013,4.0,Very good,4.0,4.5,4.5,4.0,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Evening entertainment,Kids stay free,Children Activities (Kid / Family Friendly),Parking,Wifi,Hot tub,Pool / beach towels,Outdoor pool,Fitness / spa locker rooms,Sauna,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Swimup bar,Poolside bar,Airport transportation,Shuttle bus service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Facial treatments,Massage,24-hour security,Concierge,Currency exchange,Gift shop,Newspaper,Non-smoking hotel,Butler service,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Air conditioning,Housekeeping,Room service,Safe,Minibar,Refrigerator,Flatscreen TV","Ocean view,Bridal suite,Non-smoking rooms,Suites,Family rooms",5.0,72,Somewhat walkable,12,11,"₱4,411",,510
Hotel H2O,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d1230302-Reviews-Hotel_H2O-Manila_Metro_Manila_Luzon.html,"Luneta Manila Ocean Park, Behind Quirino Grandstand, Manila, Luzon 1000 Philippines","Hotel H2O is the first and only marine-themed urban resort hotel in the Philippines. Opened on April 10, 2010, the hotel is part of the Manila Ocean Park complex in the Philippine capital’s historic Rizal Park. It has been designated as the official residence for guests and patrons of Manila Ocean Park.Every part of Hotel H2O has a connection to its namesake element, water – from its next-door proximity to Manila Ocean Park; to its location on the edge of Manila Bay; to its signature aquarium wall that adorns the inner guest rooms and grand ballroom; to the seafood specialties of its main F&B outlet, Makan Makan Asian Food Village; to the healing, negative-ion treatments of its wellness center, Zenyu Eco Spa. All these make Hotel H2O perhaps the most visually distinctive urban property in the country today.",1654,4.0,Very good,4.0,4.0,4.0,3.5,"Free parking,Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Coffee shop,Water park,Children Activities (Kid / Family Friendly),Airport transportation,Parking,Wifi,Poolside bar,Restaurant,Breakfast available,Breakfast buffet,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Massage,24-hour security,Concierge,Non-smoking hotel,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV","Ocean view,Non-smoking rooms,Suites,Family rooms",4.0,68,Somewhat walkable,12,8,"₱4,015",,147
The Bayleaf Intramuros,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d2410887-Reviews-The_Bayleaf_Intramuros-Manila_Metro_Manila_Luzon.html,"Muralla corner Victoria streets Intramuros, Muralla corner Victoria Streets, Manila, Luzon 1002 Philippines","The Bayleaf is the only boutique hotel in the heart of the country's premiere heritage site, the Intramuros -the seat of Spanish government more established than 400 years ago. Located inside massive walls, Intramuros is home to very old churches, museums, national parks and courtyards.With 57 rooms and suites, The Bayleaf also has 5 modern meetings rooms, a 280 capacity ballroom, an all day dining panoramic restaurant on the 9th floor, a roof deck al fresco lounge on the deck and a rustic Churros cafe on the ground floor.",1883,4.5,Excellent,4.5,4.5,4.5,4.5,"Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Airport transportation,Business Center with Internet Access,Conference facilities,Rooftop terrace,Valet parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Breakfast buffet,Complimentary Instant Coffee,Rooftop bar,Car hire,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Air conditioning,Desk,Room service,Safe,Coffee / tea maker,Flatscreen TV,Complimentary toiletries,Hair dryer","Non-smoking rooms,Suites,Family rooms",3.5,92,Great for walkers,49,14,"₱3,506",,57
Hotel Lucky Chinatown,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d16817438-Reviews-Hotel_Lucky_Chinatown-Manila_Metro_Manila_Luzon.html,"21 Reina Regente Street Brgy 293, Binondo, Manila, Luzon 1006 Philippines","Hotel Lucky Chinatown is a modern contemporary hotel with a unique ‘Chinatown vibe’ in the heart of Binondo. Its chic lobby interiors amplify Manila’s vibrancy with artistic ambiance and local flair. The 93 forward-looking guestrooms are pleasantly furnished with natural fabrics and upscale amenities for your living pleasure. Hotel Lucky Chinatown is the perfect place to feel good and relieve stress with spa treatments, jacuzzi, steam bath, and sauna after an all-embracing Chinese experience in the world’s oldest Chinatown in Manila.",105,4.5,Excellent,5.0,4.5,5.0,5.0,"Free parking,Free High Speed Internet (WiFi),Fitness / spa locker rooms,Bar / lounge,Patio,Walking tours,Airport transportation,Conference facilities,Paid public parking nearby,Secured parking,Wifi,Sauna,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Banquet room,Meeting rooms,Steam room,24-hour security,Baggage storage,Concierge,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Laundry service","Room service,Telephone,Bottled water,Coffee / tea maker,Minibar,Flatscreen TV,Bath / shower,Complimentary toiletries,Electric kettle,Kitchenware,Hair dryer","City view,Non-smoking rooms,Suites,Family rooms",3.0,88,Good for walkers,72,13,"₱1,746",,93
City Garden Suites,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d477891-Reviews-City_Garden_Suites-Manila_Metro_Manila_Luzon.html,"1158 A. Mabini Street Ermita, Manila, Luzon 1000 Philippines","City Garden Suites, Hotel in Manila sits right in the heart of Manila as a benchmark of convenience and business-class comfort. The 142-room 3-star hotel is committed to providing perfect accommodations for business and leisure travelers seeking a home away from home at a reasonable value.",669,4.0,Very good,4.0,4.0,4.0,4.0,"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Bicycle rental,Airport transportation,Business Center with Internet Access,Conference facilities,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Car hire,Banquet room,Meeting rooms,Spa,Massage,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Doorperson,24-hour front desk,Dry cleaning,Laundry service","Bathrobes,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Complimentary toiletries,Safe,Telephone,Refrigerator,Hair dryer","Non-smoking rooms,Suites,Family rooms,Smoking rooms available",3.0,97,Great for walkers,113,15,"₱2,318",,142
Bayview Park Hotel Manila,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d306357-Reviews-Bayview_Park_Hotel_Manila-Manila_Metro_Manila_Luzon.html,"1118 Roxas Boulevard corner United Nations Avenue, Manila, Luzon 1000 Philippines","Bayview Park Hotel Manila is situated just minutes away from other historic and renowned landmarks including Luneta Park, Manila Catherdal, Intramuros, and the vibrant art and entertainment milieu, Malate. Across it, towards the bay are the U.S. Embassy, Manila Yacht Club, and further on, the SMX Convention Center and CCP Complex, the country's premier cultural hub. Its proximity to the Ninoy Aquino International Airport, a mere 20 minutes away, offers extra convenience much desired by the travel-weary visitor. Hospitable, dependable, modest, respected, distinguished. Words meant to be lived by. It's simply the Bayview Park Hotel Manila way.",1216,3.5,Very good,4.0,3.5,3.5,3.5,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Airport transportation,Business Center with Internet Access,Parking,Wifi,Rooftop pool,Indoor pool,Outdoor pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Conference facilities,Banquet room,Meeting rooms,Spa,Concierge,Non-smoking hotel,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service","Air conditioning,Room service,Safe,Minibar,Refrigerator,Flatscreen TV","Ocean view,Non-smoking rooms,Suites,Smoking rooms available",3.0,94,Great for walkers,63,15,"₱2,488",,281
Red Planet Manila Binondo,https://www.tripadvisor.com.ph/Hotel_Review-g298573-d13401314-Reviews-Red_Planet_Manila_Binondo-Manila_Metro_Manila_Luzon.html,"251-61 Juan Luna Street Binondo, Manila, Luzon 1006 Philippines","Red Planet Manila Binondo combines affordable rates with a great location. It’s near the world’s oldest Chinatown, which means great shopping, tons of food and charming historical sites in an old-Manila atmosphere. Walkable from the hotel is the Lucky Chinatown Mall and Cinema, 168 Mall, and bustling Ongpin Street.",412,4.5,Excellent,4.5,4.5,4.5,4.5,"Free parking,Free High Speed Internet (WiFi),Children Activities (Kid / Family Friendly),Business Center with Internet Access,24-hour security,Baggage storage,24-hour check-in,24-hour front desk,Parking,Wifi,Newspaper,Non-smoking hotel","Air conditioning,Desk,Housekeeping,Safe,Clothes rack,Flatscreen TV,Bath / shower,Complimentary toiletries","Non-smoking rooms,Family rooms",3.0,90,Good for walkers,52,10,"₱1,357",,171
