name,rating,ratingDate,title,content,visit_date,url
New Coast Hotel Manila,5.0,19 Aug,Great place to stay. Highly recommend.,Excellent place to stay. Laiza did a great job on my room. Rooms are nice. Food is good. Great location. Rooms are very spacious and comfortable. Near Luneta Park and Dolomite Beach and Robinson’s Mall. ,August 2023,/ShowUserReviews-g298573-d483187-r911589965-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,17 Aug,Exceeding Expectations!!!,"This is our very first hotel stay in manila and it already exceeded our expectations in terms of service. the location is perfect if you want to have a little fun and have a quick tour around manila. Service here is outstanding, all the staffs are kind and friendly. A big thanks to israel for keeping our room fresh and showing care of our belongings. We'll definitely recommend New Coast Hotel to our friends and family when they visit the Philippines.",July 2023,/ShowUserReviews-g298573-d483187-r911007475-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,7 Aug,Good value for money,"The lobby still has the same appearance as it did in the past, but it still gives me the chills as though I had just new to this.Nevertheless, the location is great! Food is still excellent,I enjoy the pool as it makes me think back to when we were all young.The lift and the halls are from a time capsule, but I still adore them. The room is amazing, just like it used to be, but what makes me wonder is the people. They are essentially the same and have a good habit of always giving their best. Zyrus…of all the people in the hotel has made a remarkable experience.he demonstrate what real customer satisfaction means. everyday the enthusiasm he delivers by asking if our room was done properly…superb!!! we love this guy to the fullest as we never experienced his way of customer",July 2023,/ShowUserReviews-g298573-d483187-r908653327-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,5 Aug,A Wonderful bad weather experience,"It's been a rainy week in Metro Manila and we haven't really gone out much.   We've pretty much spent all of our time in our room binge watching on netflix and ordering food from grab & foodpanda rather than going out on a stormy day.  We still enjoyed the couple of days that we've stayed here at the hotel. despite of the bad weather we're having, the staffs are very accommodating and helpful of our needs. Thanks to israel for maintaining the cleanliness of our room and replenishing the amenities we requested. He also recommended us some foods that the hotel offers because we think he might've noticed that we're always ordering out, so we ordered some entrées sandwiches and desserts, and it was all fantastic.  We want to thank you all for having us! We didn't enjoy the weather",July 2023,/ShowUserReviews-g298573-d483187-r908038555-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,4.0,Jul 2023,Friendly staff and nice service,"It was a nice hotel experience. The room attendant, Lester made sure that we had all amenities and that the room was clean. The taxi services to and from the Airport was also good and helpful during the rainy season. ",July 2023,/ShowUserReviews-g298573-d483187-r906855689-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,Jul 2023,Excellent hotel from all aspects,"I visited this hotel twice within the space of a week. Both times the staff, especially the gentlemen working at the concierges' desk were exemplary in their work ethic and helpfulness. The check in staff performed their roles admirably and did their best to ensure the room I got was the best for me.  On the first occasion I had room 1639 which was extremely large, elegantly furnished with an accompanying luxurious bathroom. On the second visit, I was given a room which was considerably smaller. I was then informed that the rooms on each floor ending with 39 are the largest rooms. Therefore, I strongly recommend you reserve those if possible (as long as I don't miss out as a consequence!).  The swimming pool is outside and 25 metres long and a section is condoned off for lap",July 2023,/ShowUserReviews-g298573-d483187-r906153907-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,Jul 2023,Vacation,"We spent 5 days here with my husband for our vacation and i must say that everything is excellent.As for the room,its spacious and comfortable.I would definitely recommend this hotel.And lastly to the house keeper ate Laiza 😊 thanks much for your good  service..",July 2023,/ShowUserReviews-g298573-d483187-r905673248-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,Jul 2023,"Good service,  room service department name call Laiza.. Polite, manner and honestly. I will come back to hotel again.Cl","Good service,  room service department name call Laiza.. Polite, manner and honestly. I will come back to hotel again.Clean and near town area.. Food serve good and casino and nice pub. Very enjoy here. ",July 2023,/ShowUserReviews-g298573-d483187-r905643403-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,Jul 2023,"Great room, Great Food, Great Staffs, and Great Service!!!",We want to thank all the staffs that made our stay an enjoyable one! We've had a wonderful stay here at New Coast Hotel. Our room is clean and has a great view of the ocean. The food we ordered was excellent and the staffs are very friendly and accommodating. My Husband and I also want to thank Israel for keeping our room clean and provides us all the request we needed. Overall we want to thank you all for making our little vacation an enjoyable experience. We'll always consider New Coast Hotel as our first option when booking a hotel in Manila!,July 2023,/ShowUserReviews-g298573-d483187-r905143441-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
New Coast Hotel Manila,5.0,Jul 2023,Nice!!,"Nice gym, nice pool, nice room All the staff were kind and considerate. I'm satisfied with everything in this hotel!! The room is quite large and has a sofa, so it's good to lie down. The cleanliness of the room is very satisfying.",July 2023,/ShowUserReviews-g298573-d483187-r904551533-New_Coast_Hotel_Manila-Manila_Metro_Manila_Luzon.html
Sofitel Philippine Plaza Manila,5.0,Yesterday,Good hotel with excellent staff and restaurant,Here for the FIBA World Cup. Good hotel with fabulous and attentive staff. Highlights are the breakfast and dinner buffets - lots of choice and even a walk-in cheese room.   One small suggestion would be for food and drink outlets to be open a little later.,August 2023,/ShowUserReviews-g298573-d301802-r912916559-Sofitel_Philippine_Plaza_Manila-Manila_Metro_Manila_Luzon.html
