,name,location,rating,rating_date,title,content,visit_date,url,type,ratingDate,user_link,user_name,purpose,review_date
903,Lucky Noodles,Manila,5.0,"August 16, 2023",Dinner,"The food was very satisfying and you can really taste the flavor of asia in this resto (Chinese, Malaysian, Singaporean, and others). The staff are very accomodating (especially Sir Devon) and the restaurant is aesthetically pleasing. I highly recommend to dine here with friends and...relatives.",Date of visit:,/ShowUserReviews-g312693-d4049242-r910761723-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
904,Lucky Noodles,Manila,5.0,"August 13, 2023",Mooping,Thế food is great êspecially thế mooping.  And thế service is great. Thanks tớ our server. Thanks...,Date of visit:,/ShowUserReviews-g312693-d4049242-r909996399-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
905,Lucky Noodles,Manila,5.0,"August 12, 2023",Birthday Celebration,"Was assisted immediately by Sir Ralph and Marx followed by the following servers JM , Rey ,and Koby. Liezel was making sure that we were accommodate accordingly. The foods were great and so as the service of the said employee.",Date of visit:,/ShowUserReviews-g312693-d4049242-r909777875-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
906,Lucky Noodles,Manila,5.0,"August 12, 2023",Yangchow fried rice is so yummy,I always come here because of my favorite yangchow fried rice. The service of Devon and Jan was very good.,Date of visit:,/ShowUserReviews-g312693-d4049242-r909613728-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
907,Lucky Noodles,Manila,5.0,"August 10, 2023",excellent!,Babalik kami dito. Sobrang sarap! Kasama ang buong family! Very accomodating server Christine  and the best syempre chef boy,Date of visit:,/ShowUserReviews-g312693-d4049242-r909191426-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
908,Lucky Noodles,Manila,5.0,"August 9, 2023",The best! ,"Food was great! Really love the ambiance. I would also like to commend Marx, Ian, Jl, and Devon for the amazing service.",Date of visit:,/ShowUserReviews-g312693-d4049242-r909034783-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
909,Lucky Noodles,Manila,5.0,"August 2, 2023",Recommendation for higher position for Noel of Lucky Noodles🍜☺️,We were happy for Noel though he is now a manager we still received d same warm welcome n services long before he became a manager. Continue d good job noel u will still go d ladder of  success!!,Date of visit:,/ShowUserReviews-g312693-d4049242-r907283554-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
910,Lucky Noodles,Manila,5.0,"July 28, 2023",JM the best server of Lucky Noodles,"Still the best place to be after a fun night at Solaire, shout out to “JM” our server whose exceptionable. he made sure to attend our needs right away, very friendly and accomodating. He made our night memorable being at Solaire. ;)",Date of visit:,/ShowUserReviews-g312693-d4049242-r906256315-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
911,Lucky Noodles,Manila,5.0,"July 28, 2023",for JM and MERCY 🥰 of LUCKY NOODLES,good food as always! great service especially JM and MERCY! THANK YOU SO MUCH! WE WILL NEVER FORGET YOUR GENEROSITY SERVICE TO US! GODBLESS!,Date of visit:,/ShowUserReviews-g312693-d4049242-r906255781-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
912,Lucky Noodles,Manila,5.0,"July 24, 2023",Late dinner ,"This resto has a really good food. ang sarap grabe! thanks for the good service Kayla,Koby and Allan.",Date of visit:,/ShowUserReviews-g312693-d4049242-r905311615-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
913,Lucky Noodles,Manila,5.0,"July 23, 2023",great,"The service is truly exceptional, and the food is consistently amazing. It has become our go-to spot, and we have never left disappointed. I highly recommend this restaurant to anyone looking for an incredible Thai dining experience. You won't be disappointed!",Date of visit:,/ShowUserReviews-g312693-d4049242-r904998287-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
914,Lucky Noodles,Manila,5.0,"July 23, 2023",Perfect,"Excellent service and quality food. The best laksa in town! We also come back here at lucky noodles for their authentic laksa. I would like to recommend RC, Noel,JR and Ralph for their warm welcome and verygood service. Keep up the good work!😊",Date of visit:,/ShowUserReviews-g312693-d4049242-r904910825-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
915,Lucky Noodles,Manila,5.0,"July 22, 2023",Taste good ,"Really good experience and a a good service. 
Thank you JM. Will go here again. Thank you so much 🥰🥰🥰🥰🥰😋😋😋",Date of visit:,/ShowUserReviews-g312693-d4049242-r904817456-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
916,Lucky Noodles,Manila,5.0,"July 12, 2023",Highly Recommended : Lucky Noodles,"Superb.. i really want to come back here. staff were Very welcoming.. Id like to appraise Mr. Edwin the Manager who and assist me and Mr. Gerardo for serving the food well. 
The Menu was so good and also affordable. 
Lori J",Date of visit:,/ShowUserReviews-g312693-d4049242-r902441846-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
917,Lucky Noodles,Manila,5.0,"July 3, 2023",GREAT LUNCH,The black pepper beef is delicious perfect match with egg rice also the side dish is good the kani salad,Date of visit:,/ShowUserReviews-g312693-d4049242-r899885368-Lucky_Noodles-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
918,Kiapo,Manila,5.0,"August 24, 2023",Great food always,This is the right place if you’re looking for home cooked meals!!! Feels like home away from home!  Nice ambiance as well!!😍🥰 thank you!,Date of visit:,/ShowUserReviews-g312693-d12402268-r912530465-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
919,Kiapo,Manila,5.0,"June 28, 2023",LPU-Manila,Yummy food and accommodating staffs !!! Thank you to Miss Sophia for making us feel welcomed. Til next time! 🤍,Date of visit:,/ShowUserReviews-g312693-d12402268-r898574768-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
920,Kiapo,Manila,5.0,"August 19, 2023",Best service and resto,Jerecson was amazing and very hospitable. He made sure our food is served on time. He’s the best we’ve encountered in Kiapo.  The food was great.,Date of visit:,/ShowUserReviews-g312693-d12402268-r911364075-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
921,Kiapo,Manila,5.0,"August 16, 2023",Delicious,The food was excellent. The service is good. Jerecson is very polite and accommodating. Definitely come back here.,Date of visit:,/ShowUserReviews-g312693-d12402268-r910670321-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
922,Kiapo,Manila,5.0,"August 15, 2023",Great experience,"So delicious and the foods are amazing.
And the Server Kuya Jerecson is so nice.
For sure we will come back here again.",Date of visit:,/ShowUserReviews-g312693-d12402268-r910425537-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
923,Kiapo,Manila,5.0,"August 14, 2023",Whole experience was great!,The food was good. It is worth the price. Service was nice as well. Staff were very friendly and polite.,Date of visit:,/ShowUserReviews-g312693-d12402268-r910163265-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
924,Kiapo,Manila,5.0,"August 14, 2023",Great Experience,Great experience. Food is good. Excellent service. Will definitely come back. Jerecson is very friendly.,Date of visit:,/ShowUserReviews-g312693-d12402268-r910149788-Kiapo-Paranaque_Metro_Manila_Luzon.html,restaurant,,,,,
