name,url,title,user_link,user_name,rating,content,visit_date,purpose,review_date
Intramuros,/ShowUserReviews-g298573-d548076-r910654959-Intramuros-Manila_Metro_Manila_Luzon.html,Weekly Sales Training,/Profile/marikrisvis,Marikrisvi S,5.0,Was assingend to do Sales Training with this company. As their office is near San Agustin Church and other places to see. My last time in Intramuros is when we had this field trip in Elemntary.But to see again that im working i think i have to say that i appreciate the view that gives you the old historic vibe. If your a foreigner and have to chance to visit this place. You should defintitly. Also the restos here are so good.,Aug 2023,Business,",15 August 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r908236233-Intramuros-Manila_Metro_Manila_Luzon.html,Explore Manila’s Old Walled City,/Profile/luzlK3560IQ,Luz Li,5.0,I do not like the traffic in Manila at all but it is worth to spend your one day trip to visit Intramuros to experience the preserved heritage area and its historical stories.  There are some vintage cafe house and dining places where you can take rest for the long day walk.,Aug 2023,Couples,",6 August 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r899571460-Intramuros-Manila_Metro_Manila_Luzon.html,Very interesting historical area of Manila,/Profile/roaming_kiwi58,roaming_kiwi58,4.0,"Intramuros is the historic old walled city part of Manila. The original fortifications were mainly built by the Spanish. Much of the area was flattened during World War II, and has been later rebuilt. ",Mar 2023,,",1 July 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r899081251-Intramuros-Manila_Metro_Manila_Luzon.html,Amazing Experience ,/Profile/minnieShellharbour,minnieShellharbour,5.0,What an amazing place to see. It is a must when you are in the Philippines. We did a tour of the old Manila and Modern Manila. ,Jun 2023,Couples,",30 June 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r893463779-Intramuros-Manila_Metro_Manila_Luzon.html,Great touristy spot.,/Profile/BigBlock13,BigBlock13,5.0,"Very beautiful spot in Manila, with lots of historical buildings and history to explore.  Everywhere you look is something to see.  Downside can be the number of kids flocking to the tourists hoping for a monetary handout.",Apr 2023,,",4 June 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r892398574-Intramuros-Manila_Metro_Manila_Luzon.html,Beautiful historical place must come here,/Profile/Joe_AR1087,Joe R,5.0,"Wonderful place filled with history. The fort Santiago, plaza de Mexico, churches, streets, and museums all worth to come and visit",Nov 2022,Couples,",29 May 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r890275003-Intramuros-Manila_Metro_Manila_Luzon.html,Beautiful,/Profile/dddelle,Delle,5.0,"Quite beautiful!!!! Perfect weather today to visit, not too hot. Such history, I really enjoyed it. I would recommend you take those 3 wheels to visit everything this area has to offer",May 2023,Friends,",14 May 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r887629548-Intramuros-Manila_Metro_Manila_Luzon.html,Amazing Spanish heritage,/Profile/Evel-kelly,Eve L Kelly,5.0,"Intramuros is probably the most tourist asset that Manila has, aside from shopping malls. Going around its streets and churches you can imagine how live was during the Spanish empire period. I truly recommend to visit intramuros when staying in Manila",Mar 2023,Friends,",25 April 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r886128003-Intramuros-Manila_Metro_Manila_Luzon.html,Great place,/Profile/Karlusia,Karlusia,5.0,"The historic Intramuros houses objects from Spanish times, such as Fort Santiago with a large, stone gate and national hero museum José Rizala. In the richly decorated Manilian cathedral, you can admire bronze and stained glass, and in the museum at the church of St. Augustine - works of art and figures on religious themes. The Casa Manila Museum is filled with furniture and works of art from the time of the Spanish colony. Horse carriages called Palesa glide on the cobbled streets.",Apr 2023,,",13 April 2023"
Intramuros,/ShowUserReviews-g298573-d548076-r885577504-Intramuros-Manila_Metro_Manila_Luzon.html,Beware of public holidays,/Profile/Sarah_nz31,Sarah_nz31,3.0,I was not aware that it was Holy Week / Maundy Thursday when I visited. Many buildings / attractions were closed. I would strongly advise to research any holidays / events that might result in closures in advance. ,Apr 2023,Solo,",10 April 2023"
