ADM4_PCODE,ADM3_PCODE,ADM2_PCODE,ADM1_PCODE,ADM4_EN,ADM3_EN,ADM2_EN,ADM1_EN
PH104210051,PH104210000,PH104200000,PH100000000,50th District (Pob.),Ozamis City,Misamis Occidental,Region X
PH082622001,PH082622000,PH082600000,PH080000000,A-et,Sulat,Eastern Samar,Region VIII
PH160205003,PH160205000,PH160200000,PH160000000,A. Beltran (Camalig),Jabonga,Agusan del Norte,Region XIII
PH034915001,PH034915000,PH034900000,PH030000000,A. Bonifacio,Llanera,Nueva Ecija,Region III
PH056203001,PH056203000,PH056200000,PH050000000,A. Bonifacio,Bulan,Sorsogon,Region V
PH083735001,PH083735000,PH083700000,PH080000000,A. Bonifacio,Mayorga,Leyte,Region VIII
PH141102125,PH141102000,PH141100000,PH140000000,A. Bonifacio-Caguioa-Rimando (ABCR),Baguio City,Benguet,Cordillera Administrative Region
PH042107001,PH042107000,PH042100000,PH040000000,A. Dalusag,General Emilio Aguinaldo,Cavite,Region IV-A
PH045618001,PH045618000,PH045600000,PH040000000,A. Mabini,Guinayangan,Quezon,Region IV-A
PH112315001,PH112315000,PH112300000,PH110000000,A. O. Floirendo,City of Panabo,Davao del Norte,Region XI
PH034926001,PH034926000,PH034900000,PH030000000,A. Pascual,San Jose City,Nueva Ecija,Region III
PH030805001,PH030805000,PH030800000,PH030000000,A. Rivera (Pob.),Hermosa,Bataan,Region III
PH012818001,PH012818000,PH012800000,PH010000000,Ab-abut,Piddig,Ilocos Norte,Region I
PH143201001,PH143201000,PH143200000,PH140000000,Ababa-an,Balbalan,Kalinga,Cordillera Administrative Region
PH012804001,PH012804000,PH012800000,PH010000000,Abaca,Bangui,Ilocos Norte,Region I
PH025008001,PH025008000,PH025000000,PH020000000,Abaca,Dupax del Sur,Nueva Vizcaya,Region II
PH054105001,PH054105000,PH054100000,PH050000000,Abaca,Cataingan,Masbate,Region V
PH060607001,PH060607000,PH060600000,PH060000000,Abaca,Tobias Fornier,Antique,Region VI
PH063039001,PH063039000,PH063000000,PH060000000,Abaca,San Enrique,Iloilo,Region VI
PH071231001,PH071231000,PH071200000,PH070000000,Abaca,Mabini,Bohol,Region VII
PH083717001,PH083717000,PH083700000,PH080000000,Abaca,Dagami,Leyte,Region VIII
PH064507001,PH064507000,PH064500000,PH060000000,Abaca,Cauayan,Negros Occidental,Region VI
PH012929001,PH012929000,PH012900000,PH010000000,Abaccan,Sigay,Ilocos Sur,Region I
PH071240001,PH071240000,PH071200000,PH070000000,Abachanan,Sierra Bullones,Bohol,Region VII
PH056203002,PH056203000,PH056200000,PH050000000,Abad Santos,Bulan,Sorsogon,Region V
PH071231002,PH071231000,PH071200000,PH070000000,Abad Santos,Mabini,Bohol,Region VII
PH166721001,PH166721000,PH166700000,PH160000000,Abad Santos,Santa Monica,Surigao del Norte,Region XIII
PH103502001,PH103502000,PH103500000,PH100000000,Abaga,Baloi,Lanao del Norte,Region X
PH103509001,PH103509000,PH103500000,PH100000000,Abaga,Lala,Lanao del Norte,Region X
PH103515001,PH103515000,PH103500000,PH100000000,Abaga,Nunungan,Lanao del Norte,Region X
PH124705001,PH124705000,PH124700000,PH120000000,Abaga,Libungan,Cotabato,Region XII
PH153603001,PH153603000,PH153600000,PH150000000,Abaga,Balindong,Lanao del Sur,Bangsamoro Autonomous Region in Muslim Mindanao
PH153613001,PH153613000,PH153600000,PH150000000,Abaga,Madalum,Lanao del Sur,Bangsamoro Autonomous Region in Muslim Mindanao
PH021510001,PH021510000,PH021500000,PH020000000,Abagao,Camalaniugan,Cagayan,Region II
PH021516001,PH021516000,PH021500000,PH020000000,Abagao,Lal-Lo,Cagayan,Region II
PH175302007,PH175302000,PH175300000,PH170000000,Abagat (Pob.),Agutaya,Palawan,Region IV-B
PH036906001,PH036906000,PH036900000,PH030000000,Abagon,Gerona,Tarlac,Region III
PH141102129,PH141102000,PH141100000,PH140000000,Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),Baguio City,Benguet,Cordillera Administrative Region
PH045623001,PH045623000,PH045600000,PH040000000,Abang,Lucban,Quezon,Region IV-A
PH140103001,PH140103000,PH140100000,PH140000000,Abang,Bucay,Abra,Cordillera Administrative Region
PH063002001,PH063002000,PH063000000,PH060000000,Abang-abang,Alimodian,Iloilo,Region VI
PH031411001,PH031411000,PH031400000,PH030000000,Abangan Norte,Marilao,Bulacan,Region III
PH031411002,PH031411000,PH031400000,PH030000000,Abangan Sur,Marilao,Bulacan,Region III
PH061917001,PH061917000,PH061900000,PH060000000,Abangay,Tapaz,Capiz,Region VI
PH063016001,PH063016000,PH063000000,PH060000000,Abangay,Dingle,Iloilo,Region VI
PH063023001,PH063023000,PH063000000,PH060000000,Abangay,Janiuay,Iloilo,Region VI
PH063037001,PH063037000,PH063000000,PH060000000,Abangay,Pototan,Iloilo,Region VI
PH083706001,PH083706000,PH083700000,PH080000000,Abango,Barugo,Leyte,Region VIII
PH083713001,PH083713000,PH083700000,PH080000000,Abanilla,Calubian,Leyte,Region VIII
PH015532001,PH015532000,PH015500000,PH010000000,Abanon,San Carlos City,Pangasinan,Region I
PH021518001,PH021518000,PH021500000,PH020000000,Abanqueruan,Pamplona,Cagayan,Region II
PH074616001,PH074616000,PH074600000,PH070000000,Abante,Pamplona,Negros Oriental,Region VII
PH140106001,PH140106000,PH140100000,PH140000000,Abaquid,Danglas,Abra,Cordillera Administrative Region
PH034926003,PH034926000,PH034900000,PH030000000,Abar 2nd,San Jose City,Nueva Ecija,Region III
PH034926002,PH034926000,PH034900000,PH030000000,Abar Ist,San Jose City,Nueva Ecija,Region III
PH021526001,PH021526000,PH021500000,PH020000000,Abariongan Ruar,Santo Niño,Cagayan,Region II
PH021526002,PH021526000,PH021500000,PH020000000,Abariongan Uneg,Santo Niño,Cagayan,Region II
PH175318001,PH175318000,PH175300000,PH170000000,Abaroan,Roxas,Palawan,Region IV-B
PH056213001,PH056213000,PH056200000,PH050000000,Abas,Pilar,Sorsogon,Region V
PH063031001,PH063031000,PH063000000,PH060000000,Abat,Mina,Iloilo,Region VI
PH141105001,PH141105000,PH141100000,PH140000000,Abatan,Buguias,Benguet,Cordillera Administrative Region
PH142702001,PH142702000,PH142700000,PH140000000,Abatan,Hungduan,Ifugao,Cordillera Administrative Region
PH144402001,PH144402000,PH144400000,PH140000000,Abatan,Bauko,Mountain Province,Cordillera Administrative Region
PH084808001,PH084808000,PH084800000,PH080000000,Abaton,Laoang,Northern Samar,Region VIII
PH063029001,PH063029000,PH063000000,PH060000000,Abay,Maasin,Iloilo,Region VI
PH012909001,PH012909000,PH012900000,PH010000000,Abaya,Galimuyod,Ilocos Sur,Region I
PH025704001,PH025704000,PH025700000,PH020000000,Abbag,Maddela,Quirino,Region II
PH021502001,PH021502000,PH021500000,PH020000000,Abbeg,Alcala,Cagayan,Region II
PH153618001,PH153618000,PH153600000,PH150000000,Abdullah Buisan,Masiu,Lanao del Sur,Bangsamoro Autonomous Region in Muslim Mindanao
PH071237002,PH071237000,PH071200000,PH070000000,Abehilan,San Isidro,Bohol,Region VII
PH082619001,PH082619000,PH082600000,PH080000000,Abejao,Salcedo,Eastern Samar,Region VIII
PH050508001,PH050508000,PH050500000,PH050000000,Abella,City of Ligao,Albay,Region V
PH051724001,PH051724000,PH051700000,PH050000000,Abella,Naga City,Camarines Sur,Region V
PH041025001,PH041025000,PH041000000,PH040000000,Abelo,San Nicolas,Batangas,Region IV-A
PH175312018,PH175312000,PH175300000,PH170000000,Aberawan,El Nido,Palawan,Region IV-B
PH063022178,PH063022000,PH063000000,PH060000000,Abeto Mirasol Taft South (Quirino Abeto),Iloilo City,Iloilo,Region VI
PH086409001,PH086409000,PH086400000,PH080000000,Abgao,Malitbog,Southern Leyte,Region VIII
PH086407001,PH086407000,PH086400000,PH080000000,Abgao (Pob.),City of Maasin,Southern Leyte,Region VIII
PH041024001,PH041024000,PH041000000,PH040000000,Abiacao,San Luis,Batangas,Region IV-A
PH025004001,PH025004000,PH025000000,PH020000000,Abian,Bambang,Nueva Vizcaya,Region II
PH141101001,PH141101000,PH141100000,PH140000000,Abiang,Atok,Benguet,Cordillera Administrative Region
