Province,Municipality,Barangay,2020 Population,brgy_code
National Capital Region,"TONDO I/II, Manila",Barangay 1,2.995,PH133901001
National Capital Region,"TONDO I/II, Manila",Barangay 2,1.887,PH133901002
National Capital Region,"TONDO I/II, Manila",Barangay 3,1.341,PH133901003
National Capital Region,"TONDO I/II, Manila",Barangay 4,1.691,PH133901004
National Capital Region,"TONDO I/II, Manila",Barangay 5,1.288,PH133901005
National Capital Region,"TONDO I/II, Manila",Barangay 6,0.771,PH133901006
National Capital Region,"TONDO I/II, Manila",Barangay 7,1.56,PH133901007
National Capital Region,"TONDO I/II, Manila",Barangay 8,0.147,PH133901008
National Capital Region,"TONDO I/II, Manila",Barangay 9,0.447,PH133901009
National Capital Region,"TONDO I/II, Manila",Barangay 10,0.16,PH133901010
National Capital Region,"TONDO I/II, Manila",Barangay 11,2.758,PH133901011
National Capital Region,"TONDO I/II, Manila",Barangay 12,2.137,PH133901012
National Capital Region,"TONDO I/II, Manila",Barangay 13,2.371,PH133901013
National Capital Region,"TONDO I/II, Manila",Barangay 14,2.07,PH133901014
National Capital Region,"TONDO I/II, Manila",Barangay 15,1.119,PH133901015
National Capital Region,"TONDO I/II, Manila",Barangay 16,1.477,PH133901016
National Capital Region,"TONDO I/II, Manila",Barangay 17,1.176,PH133901017
National Capital Region,"TONDO I/II, Manila",Barangay 18,1.982,PH133901018
National Capital Region,"TONDO I/II, Manila",Barangay 19,2.272,PH133901019
National Capital Region,"TONDO I/II, Manila",Barangay 20,45.772,PH133901020
National Capital Region,"TONDO I/II, Manila",Barangay 25,2.545,PH133901025
National Capital Region,"TONDO I/II, Manila",Barangay 26,2.555,PH133901026
National Capital Region,"TONDO I/II, Manila",Barangay 28,2.787,PH133901028
National Capital Region,"TONDO I/II, Manila",Barangay 29,4.406,PH133901029
National Capital Region,"TONDO I/II, Manila",Barangay 30,0.166,PH133901030
National Capital Region,"TONDO I/II, Manila",Barangay 31,2.881,PH133901031
National Capital Region,"TONDO I/II, Manila",Barangay 32,2.219,PH133901032
National Capital Region,"TONDO I/II, Manila",Barangay 33,4.082,PH133901033
National Capital Region,"TONDO I/II, Manila",Barangay 34,1.854,PH133901034
National Capital Region,"TONDO I/II, Manila",Barangay 35,2.265,PH133901035
National Capital Region,"TONDO I/II, Manila",Barangay 36,2.231,PH133901036
National Capital Region,"TONDO I/II, Manila",Barangay 37,2.057,PH133901037
National Capital Region,"TONDO I/II, Manila",Barangay 38,2.87,PH133901038
National Capital Region,"TONDO I/II, Manila",Barangay 39,2.324,PH133901039
National Capital Region,"TONDO I/II, Manila",Barangay 41,3.825,PH133901041
National Capital Region,"TONDO I/II, Manila",Barangay 42,2.142,PH133901042
National Capital Region,"TONDO I/II, Manila",Barangay 43,3.362,PH133901043
National Capital Region,"TONDO I/II, Manila",Barangay 44,0.8,PH133901044
National Capital Region,"TONDO I/II, Manila",Barangay 45,2.264,PH133901045
National Capital Region,"TONDO I/II, Manila",Barangay 46,2.088,PH133901046
National Capital Region,"TONDO I/II, Manila",Barangay 47,1.123,PH133901047
National Capital Region,"TONDO I/II, Manila",Barangay 48,4.07,PH133901048
National Capital Region,"TONDO I/II, Manila",Barangay 49,2.119,PH133901049
National Capital Region,"TONDO I/II, Manila",Barangay 50,4.217,PH133901050
National Capital Region,"TONDO I/II, Manila",Barangay 51,2.58,PH133901051
National Capital Region,"TONDO I/II, Manila",Barangay 52,2.732,PH133901052
National Capital Region,"TONDO I/II, Manila",Barangay 53,2.916,PH133901053
National Capital Region,"TONDO I/II, Manila",Barangay 54,1.648,PH133901054
National Capital Region,"TONDO I/II, Manila",Barangay 55,2.492,PH133901055
National Capital Region,"TONDO I/II, Manila",Barangay 56,3.457,PH133901056
National Capital Region,"TONDO I/II, Manila",Barangay 57,0.882,PH133901057
National Capital Region,"TONDO I/II, Manila",Barangay 58,3.719,PH133901058
National Capital Region,"TONDO I/II, Manila",Barangay 59,1.112,PH133901059
National Capital Region,"TONDO I/II, Manila",Barangay 60,4.503,PH133901060
National Capital Region,"TONDO I/II, Manila",Barangay 61,1.022,PH133901061
National Capital Region,"TONDO I/II, Manila",Barangay 62,1.967,PH133901062
National Capital Region,"TONDO I/II, Manila",Barangay 63,1.448,PH133901063
National Capital Region,"TONDO I/II, Manila",Barangay 64,0.495,PH133901064
National Capital Region,"TONDO I/II, Manila",Barangay 65,1.631,PH133901065
National Capital Region,"TONDO I/II, Manila",Barangay 66,2.956,PH133901066
National Capital Region,"TONDO I/II, Manila",Barangay 67,4.083,PH133901067
National Capital Region,"TONDO I/II, Manila",Barangay 68,1.115,PH133901068
National Capital Region,"TONDO I/II, Manila",Barangay 69,1.968,PH133901069
National Capital Region,"TONDO I/II, Manila",Barangay 70,2.344,PH133901070
National Capital Region,"TONDO I/II, Manila",Barangay 71,3.417,PH133901071
National Capital Region,"TONDO I/II, Manila",Barangay 72,3.233,PH133901072
National Capital Region,"TONDO I/II, Manila",Barangay 73,2.478,PH133901073
National Capital Region,"TONDO I/II, Manila",Barangay 74,1.039,PH133901074
National Capital Region,"TONDO I/II, Manila",Barangay 75,1.35,PH133901075
National Capital Region,"TONDO I/II, Manila",Barangay 76,1.844,PH133901076
National Capital Region,"TONDO I/II, Manila",Barangay 77,1.372,PH133901077
National Capital Region,"TONDO I/II, Manila",Barangay 78,1.221,PH133901078
National Capital Region,"TONDO I/II, Manila",Barangay 79,1.52,PH133901079
National Capital Region,"TONDO I/II, Manila",Barangay 80,2.553,PH133901080
National Capital Region,"TONDO I/II, Manila",Barangay 81,1.815,PH133901081
National Capital Region,"TONDO I/II, Manila",Barangay 82,2.642,PH133901082
National Capital Region,"TONDO I/II, Manila",Barangay 83,1.473,PH133901083
