"Gross Regional Domestic Product, by Region"

"Region","At Current Prices 2022"
"..National Capital Region (NCR)",6888962938
"..Cordillera Administrative Region (CAR)",365945436
"..Region I (Ilocos Region)",729474685
"..Region II (Cagayan Valley)",455743088
"..Region III (Central Luzon)",2367265679
"..Region IV-A (CALABARZON)",3140807481
"..MIMAROPA Region",453006892
"..Region V (Bicol Region)",645753789
"..Region VI (Western Visayas)",1133925246
"..Region VII (Central Visayas)",1406272534
"..Region VIII (Eastern Visayas)",512903347
"..Region IX (Zamboanga Peninsula)",490297996
"..Region X (Northern Mindanao)",1070688541
"..Region XI (Davao Region)",1095713673
"..Region XII (SOCCSKSARGEN)",564216855
"..Region XIII (Caraga)",376765344
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)",326771477
"Philippines",22024515001
