"Consumer Price Index for All Income Households by Commodity Group (2018=100): January 2018 - July 2023"

"Geolocation","Commodity Description","2018 Ave","2019 Ave","2020 Ave","2021 Ave","2022 Ave","2023 Ave"
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",100.0000000000000,101.6500000000000,104.5833333333330,108.9500000000000,115.3250000000000,..
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",100.0000000000000,111.9500000000000,129.1583333333330,141.6916666666670,152.9250000000000,..
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",100.0000000000000,102.6250000000000,104.9916666666670,106.9083333333330,109.6583333333330,..
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",100.0000000000000,102.4666666666670,103.1916666666670,105.8166666666670,112.5833333333330,..
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.0000000000000,102.9333333333330,106.2166666666670,108.4750000000000,111.9500000000000,..
"PHILIPPINES","06 - HEALTH",100.0000000000000,104.0166666666670,108.0750000000000,112.1750000000000,115.1166666666670,..
"PHILIPPINES","07 - TRANSPORT",100.0000000000000,101.1500000000000,102.7000000000000,112.2666666666670,126.7416666666670,..
"PHILIPPINES","08 - INFORMATION AND COMMUNICATION",100.0000000000000,100.3583333333330,100.8666666666670,101.4916666666670,102.0916666666670,..
"PHILIPPINES","09 - RECREATION, SPORT AND CULTURE",100.0000000000000,103.4583333333330,104.5083333333330,104.8166666666670,107.2166666666670,..
"PHILIPPINES","10 - EDUCATION SERVICES",100.0000000000000,103.8583333333330,105.9250000000000,106.8833333333330,108.8250000000000,..
"PHILIPPINES","11 - RESTAURANTS AND ACCOMMODATION SERVICES",100.0000000000000,103.5166666666670,105.6916666666670,109.4083333333330,113.8500000000000,..
"PHILIPPINES","12 - FINANCIAL SERVICES",100.0000000000000,100.0000000000000,100.0000000000000,132.4750000000000,143.3000000000000,..
"PHILIPPINES","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",100.0000000000000,102.3750000000000,104.7916666666670,107.1833333333330,110.3916666666670,..
"..National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",100.0000000000000,102.4333333333330,106.0083333333330,109.6083333333330,115.5750000000000,..
"..National Capital Region (NCR)","02 - ALCOHOLIC BEVERAGES AND TOBACCO",100.0000000000000,105.3416666666670,115.2166666666670,124.8500000000000,132.8583333333330,..
"..National Capital Region (NCR)","03 - CLOTHING AND FOOTWEAR",100.0000000000000,101.7833333333330,102.8916666666670,103.7416666666670,105.4916666666670,..
"..National Capital Region (NCR)","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",100.0000000000000,102.1750000000000,101.3916666666670,103.3083333333330,108.0416666666670,..
"..National Capital Region (NCR)","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.0000000000000,101.7583333333330,105.4500000000000,106.7416666666670,110.1000000000000,..
"..National Capital Region (NCR)","06 - HEALTH",100.0000000000000,101.9166666666670,103.9833333333330,106.2250000000000,107.7166666666670,..
"..National Capital Region (NCR)","07 - TRANSPORT",100.0000000000000,101.2083333333330,102.1583333333330,108.6083333333330,123.0250000000000,..
"..National Capital Region (NCR)","08 - INFORMATION AND COMMUNICATION",100.0000000000000,100.3000000000000,100.5250000000000,100.8333333333330,101.1250000000000,..
"..National Capital Region (NCR)","09 - RECREATION, SPORT AND CULTURE",100.0000000000000,102.0250000000000,102.2833333333330,101.8333333333330,103.3250000000000,..
"..National Capital Region (NCR)","10 - EDUCATION SERVICES",100.0000000000000,104.4333333333330,106.3250000000000,106.5583333333330,110.0833333333330,..
"..National Capital Region (NCR)","11 - RESTAURANTS AND ACCOMMODATION SERVICES",100.0000000000000,103.9416666666670,105.7000000000000,108.0166666666670,113.5333333333330,..
"..National Capital Region (NCR)","12 - FINANCIAL SERVICES",100.0000000000000,100.0000000000000,100.0000000000000,134.5000000000000,146.0000000000000,..
"..National Capital Region (NCR)","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",100.0000000000000,101.7833333333330,103.8750000000000,105.5416666666670,107.7416666666670,..
"..Areas Outside National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",100.0000000000000,101.5166666666670,104.3166666666670,108.8416666666670,115.2833333333330,..
"..Areas Outside National Capital Region (NCR)","02 - ALCOHOLIC BEVERAGES AND TOBACCO",100.0000000000000,113.3500000000000,132.1000000000000,145.2500000000000,157.1916666666670,..
"..Areas Outside National Capital Region (NCR)","03 - CLOTHING AND FOOTWEAR",100.0000000000000,102.7916666666670,105.4250000000000,107.5500000000000,110.5250000000000,..
"..Areas Outside National Capital Region (NCR)","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",100.0000000000000,102.5583333333330,103.8333333333330,106.6916666666670,114.1916666666670,..
"..Areas Outside National Capital Region (NCR)","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.0000000000000,103.2416666666670,106.4250000000000,108.9416666666670,112.4416666666670,..
"..Areas Outside National Capital Region (NCR)","06 - HEALTH",100.0000000000000,104.4333333333330,108.8583333333330,113.3416666666670,116.5583333333330,..
"..Areas Outside National Capital Region (NCR)","07 - TRANSPORT",100.0000000000000,101.1333333333330,102.8083333333330,113.0666666666670,127.5750000000000,..
"..Areas Outside National Capital Region (NCR)","08 - INFORMATION AND COMMUNICATION",100.0000000000000,100.3833333333330,101.0166666666670,101.7500000000000,102.4500000000000,..
"..Areas Outside National Capital Region (NCR)","09 - RECREATION, SPORT AND CULTURE",100.0000000000000,103.7666666666670,104.9916666666670,105.4500000000000,108.0666666666670,..
"..Areas Outside National Capital Region (NCR)","10 - EDUCATION SERVICES",100.0000000000000,103.6500000000000,105.8166666666670,106.9833333333330,108.4000000000000,..
"..Areas Outside National Capital Region (NCR)","11 - RESTAURANTS AND ACCOMMODATION SERVICES",100.0000000000000,103.3500000000000,105.6916666666670,109.9333333333330,113.9750000000000,..
"..Areas Outside National Capital Region (NCR)","12 - FINANCIAL SERVICES",100.0000000000000,100.0000000000000,100.0000000000000,132.0250000000000,142.7000000000000,..
"..Areas Outside National Capital Region (NCR)","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",100.0000000000000,102.5250000000000,105.0000000000000,107.5833333333330,111.0333333333330,..
"..Cordillera Administrative Region (CAR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",100.0000000000000,100.5083333333330,103.4000000000000,108.6666666666670,115.0833333333330,..
"..Cordillera Administrative Region (CAR)","02 - ALCOHOLIC BEVERAGES AND TOBACCO",100.0000000000000,108.4833333333330,118.3250000000000,128.9583333333330,139.3083333333330,..
"..Cordillera Administrative Region (CAR)","03 - CLOTHING AND FOOTWEAR",100.0000000000000,104.4083333333330,108.2583333333330,111.0416666666670,114.2750000000000,..
"..Cordillera Administrative Region (CAR)","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",100.0000000000000,103.4083333333330,104.9750000000000,107.6833333333330,113.2916666666670,..
"..Cordillera Administrative Region (CAR)","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.0000000000000,103.4000000000000,106.1750000000000,108.6833333333330,111.3416666666670,..
